date,company,symbol,title,source,published,url,sentiment_score,recommendation
2025-11-25,NVIDIA,NVDA,'Big Short' Michael Burry Doubles Down On Bear Case After Nvidia Pushes Back In Wall Street Note - NVIDIA  ( NASDAQ:NVDA ),Benzinga,2025-11-25T07:13:09Z,https://www.benzinga.com/markets/equities/25/11/49049747/big-short-michael-burry-doubles-down-on-bear-case-after-nvidia-pushes-back-in-wall-street-note,-0.4019,Sell
2025-11-25,NVIDIA,NVDA,"Bernie Sanders Pushes Back On Trump Moves To Strip AI Powers From States: 'It Will Make The Oligarchs Richer While Millions Lose Jobs' - NVIDIA  ( NASDAQ:NVDA ) , Amazon.com  ( NASDAQ:AMZN )",Benzinga,2025-11-25T05:03:01Z,https://www.benzinga.com/markets/tech/25/11/49049176/bernie-sanders-pushes-back-on-trump-moves-to-strip-ai-powers-from-states-it-will-make-the-oligarchs-,0.5574,Buy
2025-11-25,NVIDIA,NVDA,"Cathie Wood Drops $32 Million On CoreWeave Stock, Buys Bitcoin Dip Via ARKB - Ark Invest Also Picks Shares Of This George Soros-Backed Company - CoreWeave  ( NASDAQ:CRWV )",Benzinga,2025-11-25T02:31:35Z,https://www.benzinga.com/etfs/broad-u-s-equity-etfs/25/11/49048532/cathie-wood-drops-32-million-on-coreweave-stock-buys-bitcoin-dip-via-arkb-ark-invest-a,0.6369,Buy
2025-11-25,NVIDIA,NVDA,Xi Jinping Says US-China Trade Relations Maintain Positive Momentum As Trump Considers Allowing Nvidia AI Chip Sales To Beijing - NVIDIA  ( NASDAQ:NVDA ),Benzinga,2025-11-25T02:20:50Z,https://www.benzinga.com/markets/tech/25/11/49048485/xi-jinping-says-us-china-trade-relations-maintain-positive-momentum-as-trump-considers-allowing-nvid,0.7506,Buy
2025-11-25,NVIDIA,NVDA,Musk Says Real-World Data From X and Tesla to Drive AGI Efforts,Decrypt.co,2025-11-25T02:13:55Z,https://decrypt.co/349920/musk-real-world-data-x-tesla-drive-agi-efforts,-0.3182,Sell
2025-11-25,NVIDIA,NVDA,This Artificial Intelligence  ( AI )  and Robotics Stock Has Crushed Nvidia and Palantir This Year. It Can Still Soar Higher.,Motley Fool,2025-11-25T01:49:33Z,https://www.fool.com/investing/2025/11/24/artificial-intelligence-ai-and-robotics-stock/,0.7845,Buy
2025-11-25,NVIDIA,NVDA,"Broadcom, Alphabet, Sandisk, Novo Nordisk And Zoom: Why These 5 Stocks Are On Investors' Radars Today - Alphabet  ( NASDAQ:GOOG )",Benzinga,2025-11-25T01:13:52Z,https://www.benzinga.com/markets/equities/25/11/49048055/broadcom-alphabet-sandisk-novo-nordisk-and-zoom-why-these-5-stocks-are-on-investors-radars-today,0.5859,Buy
2025-11-25,NVIDIA,NVDA,Where Will Micron Stock Be in 3 Years?,Motley Fool,2025-11-25T01:00:00Z,https://www.fool.com/investing/2025/11/24/where-will-micron-stock-be-in-3-years/,0.4767,Buy
2025-11-24,NVIDIA,NVDA,Trump Signs 'Genesis Mission' Executive Order to Use AI to Supercharge US Innovation,Decrypt.co,2025-11-24T23:45:16Z,https://decrypt.co/349899/trump-signs-genesis-mission-executive-order-ai-us-innovation,0.7269,Buy
2025-11-24,NVIDIA,NVDA,Alphabet Stocks Hits New Highs As Meta Mulls Deploying Google AI Chips In Data Centers - Alphabet  ( NASDAQ:GOOG ),Benzinga,2025-11-24T23:34:32Z,https://www.benzinga.com/trading-ideas/movers/25/11/49047331/alphabet-stocks-hits-new-highs-as-meta-mulls-deploying-google-ai-chips-in-data-centers,0.296,Buy
